id,x_studio_charge_name,x_studio_charge_group,x_active,x_studio_sequence,x_studio_rfq_charge_header_id/id,x_studio_structure_no,x_studio_basis,x_studio_percent,x_studio_amount,x_studio_company_id/id
import_rfq_charge_li_id_12292,Clearing,Charges,1,10,Jinasena_MasterData_Purchase.import_rfq_charge_he_id_5558,2,Fixed Per Document,0.0,40.50297816015884,seed_master_data_and_settings.company_jinasena_agricultural_machinery
import_rfq_charge_li_id_12293,Freight & Ex work,Charges,1,10,Jinasena_MasterData_Purchase.import_rfq_charge_he_id_5559,3,Fixed Per Document,0.0,81.00595632031768,seed_master_data_and_settings.company_jinasena_agricultural_machinery
import_rfq_charge_li_id_12294,Insurance,Charges,1,10,Jinasena_MasterData_Purchase.import_rfq_charge_he_id_5560,4,Fixed Per Document,0.0,101.25744540039709,seed_master_data_and_settings.company_jinasena_agricultural_machinery
import_rfq_charge_li_id_12295,Misc,Charges,1,10,Jinasena_MasterData_Purchase.import_rfq_charge_he_id_5561,5,Fixed Per Document,0.0,121.50893448047651,seed_master_data_and_settings.company_jinasena_agricultural_machinery
import_rfq_charge_li_id_12296,Sup.Bank Charge,Charges,1,10,Jinasena_MasterData_Purchase.import_rfq_charge_he_id_5562,6,Fixed Per Document,0.0,182.26340172071477,seed_master_data_and_settings.company_jinasena_agricultural_machinery
import_rfq_charge_li_id_12297,Pallet Charges,Charges,1,10,Jinasena_MasterData_Purchase.import_rfq_charge_he_id_5563,7,Fixed Per Document,0.0,162.01191264063536,seed_master_data_and_settings.company_jinasena_agricultural_machinery
import_rfq_charge_li_id_12298,Document Charges,Charges,1,10,Jinasena_MasterData_Purchase.import_rfq_charge_he_id_5564,8,Fixed Per Document,0.0,60.754467240238256,seed_master_data_and_settings.company_jinasena_agricultural_machinery
import_rfq_charge_li_id_12299,Other,Charges,1,10,Jinasena_MasterData_Purchase.import_rfq_charge_he_id_5565,9,Fixed Per Document,0.0,141.76042356055592,seed_master_data_and_settings.company_jinasena_agricultural_machinery
import_rfq_charge_li_id_12300,CID,Duty,1,10,Jinasena_MasterData_Purchase.import_rfq_charge_he_id_5566,10,Percentage,0.0,5796.449416280609,seed_master_data_and_settings.company_jinasena_agricultural_machinery
import_rfq_charge_li_id_12301,EIC,Duty,1,10,Jinasena_MasterData_Purchase.import_rfq_charge_he_id_5567,11,Percentage,0.0,8620.990445400397,seed_master_data_and_settings.company_jinasena_agricultural_machinery
import_rfq_charge_li_id_12302,ESC,Duty,1,10,Jinasena_MasterData_Purchase.import_rfq_charge_he_id_5568,12,Percentage,0.0,0.0,seed_master_data_and_settings.company_jinasena_agricultural_machinery
import_rfq_charge_li_id_12303,Excise,Duty,1,10,Jinasena_MasterData_Purchase.import_rfq_charge_he_id_5569,13,Percentage,0.0,0.0,seed_master_data_and_settings.company_jinasena_agricultural_machinery
import_rfq_charge_li_id_12304,PAL,Duty,1,10,Jinasena_MasterData_Purchase.import_rfq_charge_he_id_5570,14,Percentage,0.0,24561.22634017207,seed_master_data_and_settings.company_jinasena_agricultural_machinery
import_rfq_charge_li_id_12305,RIDL,Duty,1,10,Jinasena_MasterData_Purchase.import_rfq_charge_he_id_5571,15,Percentage,0.0,0.0,seed_master_data_and_settings.company_jinasena_agricultural_machinery
import_rfq_charge_li_id_12306,SRL,Duty,1,10,Jinasena_MasterData_Purchase.import_rfq_charge_he_id_5572,16,Percentage,0.0,0.0,seed_master_data_and_settings.company_jinasena_agricultural_machinery
import_rfq_charge_li_id_12307,Surcharge,Duty,1,10,Jinasena_MasterData_Purchase.import_rfq_charge_he_id_5573,17,Percentage,0.0,0.0,seed_master_data_and_settings.company_jinasena_agricultural_machinery
import_rfq_charge_li_id_12308,NBT,Taxes,1,10,Jinasena_MasterData_Purchase.import_rfq_charge_he_id_5574,18,Percentage,0.0,0.0,seed_master_data_and_settings.company_jinasena_agricultural_machinery
import_rfq_charge_li_id_12309,NBT-N,Taxes,1,10,Jinasena_MasterData_Purchase.import_rfq_charge_he_id_5575,19,Percentage,0.0,0.0,seed_master_data_and_settings.company_jinasena_agricultural_machinery
import_rfq_charge_li_id_12310,VAT-on-Item,Taxes,1,10,Jinasena_MasterData_Purchase.import_rfq_charge_he_id_5576,20,Percentage,0.0,0.0,seed_master_data_and_settings.company_jinasena_agricultural_machinery
import_rfq_charge_li_id_12311,VAT-on-GL,Taxes,1,10,Jinasena_MasterData_Purchase.import_rfq_charge_he_id_5577,21,Percentage,0.0,55647.38806987425,seed_master_data_and_settings.company_jinasena_agricultural_machinery
import_rfq_charge_li_id_12312,SSCL,Taxes,1,10,Jinasena_MasterData_Purchase.import_rfq_charge_he_id_5578,22,Percentage,0.0,7728.803898593647,seed_master_data_and_settings.company_jinasena_agricultural_machinery
import_rfq_charge_li_id_12313,BankCharge,Charges,1,10,Jinasena_MasterData_Purchase.import_rfq_charge_he_id_5557,1,Fixed Per Document,0.0,30.11250827266711,seed_master_data_and_settings.company_jinasena_agricultural_machinery
