id,x_studio_structure_details_line_ids/id,x_studio_structure_master_id/id
Jinasena_MasterData_Purchase.import_rfq_charge_he_id_5606,Jinasena_MasterData_Purchase.structure_details_id_844,Jinasena_MasterData_Purchase.structure_master_vat_nbt_load_to_gl_jam
Jinasena_MasterData_Purchase.import_rfq_charge_he_id_5607,Jinasena_MasterData_Purchase.structure_details_id_845,Jinasena_MasterData_Purchase.structure_master_vat_nbt_load_to_gl_jam
Jinasena_MasterData_Purchase.import_rfq_charge_he_id_5608,Jinasena_MasterData_Purchase.structure_details_id_846,Jinasena_MasterData_Purchase.structure_master_vat_nbt_load_to_gl_jam
Jinasena_MasterData_Purchase.import_rfq_charge_he_id_5609,Jinasena_MasterData_Purchase.structure_details_id_847,Jinasena_MasterData_Purchase.structure_master_vat_nbt_load_to_gl_jam
Jinasena_MasterData_Purchase.import_rfq_charge_he_id_5610,Jinasena_MasterData_Purchase.structure_details_id_848,Jinasena_MasterData_Purchase.structure_master_vat_nbt_load_to_gl_jam
Jinasena_MasterData_Purchase.import_rfq_charge_he_id_5611,Jinasena_MasterData_Purchase.structure_details_id_849,Jinasena_MasterData_Purchase.structure_master_vat_nbt_load_to_gl_jam
Jinasena_MasterData_Purchase.import_rfq_charge_he_id_5612,Jinasena_MasterData_Purchase.structure_details_id_850,Jinasena_MasterData_Purchase.structure_master_vat_nbt_load_to_gl_jam
Jinasena_MasterData_Purchase.import_rfq_charge_he_id_5613,Jinasena_MasterData_Purchase.structure_details_id_851,Jinasena_MasterData_Purchase.structure_master_vat_nbt_load_to_gl_jam
Jinasena_MasterData_Purchase.import_rfq_charge_he_id_5614,Jinasena_MasterData_Purchase.structure_details_id_852,Jinasena_MasterData_Purchase.structure_master_vat_nbt_load_to_gl_jam
Jinasena_MasterData_Purchase.import_rfq_charge_he_id_5615,Jinasena_MasterData_Purchase.structure_details_id_853,Jinasena_MasterData_Purchase.structure_master_vat_nbt_load_to_gl_jam
Jinasena_MasterData_Purchase.import_rfq_charge_he_id_5616,Jinasena_MasterData_Purchase.structure_details_id_854,Jinasena_MasterData_Purchase.structure_master_vat_nbt_load_to_gl_jam
Jinasena_MasterData_Purchase.import_rfq_charge_he_id_5617,Jinasena_MasterData_Purchase.structure_details_id_855,Jinasena_MasterData_Purchase.structure_master_vat_nbt_load_to_gl_jam
Jinasena_MasterData_Purchase.import_rfq_charge_he_id_5618,Jinasena_MasterData_Purchase.structure_details_id_856,Jinasena_MasterData_Purchase.structure_master_vat_nbt_load_to_gl_jam
Jinasena_MasterData_Purchase.import_rfq_charge_he_id_5619,Jinasena_MasterData_Purchase.structure_details_id_857,Jinasena_MasterData_Purchase.structure_master_vat_nbt_load_to_gl_jam
Jinasena_MasterData_Purchase.import_rfq_charge_he_id_5620,Jinasena_MasterData_Purchase.structure_details_id_858,Jinasena_MasterData_Purchase.structure_master_vat_nbt_load_to_gl_jam
Jinasena_MasterData_Purchase.import_rfq_charge_he_id_5621,Jinasena_MasterData_Purchase.structure_details_id_859,Jinasena_MasterData_Purchase.structure_master_vat_nbt_load_to_gl_jam
Jinasena_MasterData_Purchase.import_rfq_charge_he_id_5622,Jinasena_MasterData_Purchase.structure_details_id_860,Jinasena_MasterData_Purchase.structure_master_vat_nbt_load_to_gl_jam
Jinasena_MasterData_Purchase.import_rfq_charge_he_id_5623,Jinasena_MasterData_Purchase.structure_details_id_839,Jinasena_MasterData_Purchase.structure_master_vat_nbt_load_to_gl_jam
Jinasena_MasterData_Purchase.import_rfq_charge_he_id_5624,Jinasena_MasterData_Purchase.structure_details_id_840,Jinasena_MasterData_Purchase.structure_master_vat_nbt_load_to_gl_jam
Jinasena_MasterData_Purchase.import_rfq_charge_he_id_5625,Jinasena_MasterData_Purchase.structure_details_id_841,Jinasena_MasterData_Purchase.structure_master_vat_nbt_load_to_gl_jam
Jinasena_MasterData_Purchase.import_rfq_charge_he_id_5626,Jinasena_MasterData_Purchase.structure_details_id_842,Jinasena_MasterData_Purchase.structure_master_vat_nbt_load_to_gl_jam
Jinasena_MasterData_Purchase.import_rfq_charge_he_id_5627,Jinasena_MasterData_Purchase.structure_details_id_843,Jinasena_MasterData_Purchase.structure_master_vat_nbt_load_to_gl_jam
Jinasena_MasterData_Purchase.import_rfq_charge_he_id_5628,Jinasena_MasterData_Purchase.structure_details_id_844,Jinasena_MasterData_Purchase.structure_master_vat_nbt_load_to_gl_jam
Jinasena_MasterData_Purchase.import_rfq_charge_he_id_5629,Jinasena_MasterData_Purchase.structure_details_id_845,Jinasena_MasterData_Purchase.structure_master_vat_nbt_load_to_gl_jam
Jinasena_MasterData_Purchase.import_rfq_charge_he_id_5630,Jinasena_MasterData_Purchase.structure_details_id_846,Jinasena_MasterData_Purchase.structure_master_vat_nbt_load_to_gl_jam
Jinasena_MasterData_Purchase.import_rfq_charge_he_id_5631,Jinasena_MasterData_Purchase.structure_details_id_847,Jinasena_MasterData_Purchase.structure_master_vat_nbt_load_to_gl_jam
Jinasena_MasterData_Purchase.import_rfq_charge_he_id_5632,Jinasena_MasterData_Purchase.structure_details_id_848,Jinasena_MasterData_Purchase.structure_master_vat_nbt_load_to_gl_jam
Jinasena_MasterData_Purchase.import_rfq_charge_he_id_5633,Jinasena_MasterData_Purchase.structure_details_id_849,Jinasena_MasterData_Purchase.structure_master_vat_nbt_load_to_gl_jam
